# 2025-12-16 17:42:37.851817

# field.xml config.pdb
#   601 molecules 9920 atoms 10980 bonds
#   box 4.1888 4.2678 10.0 nm
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# platform CUDA
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 2080 SUPER
#   UseBlockingSync false
#   Precision single
#   UseCpuPme false
#   CudaCompiler 
#   TempDirectory /tmp
#   CudaHostCompiler 
#   DisablePmeStream false
#   DeterministicForces false
# PotentielEnergy -23001.639542600955 kJ/mol
#   HarmonicBondForce 468.0525684952736 kJ/mol
#   RBTorsionForce -1580.6307749009575 kJ/mol
#   NonbondedForce -14186.32205906135 kJ/mol
#   LennardJones -26964.212869281793 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 1737.248935090378 kJ/mol
#   LennardJones14 17524.220458984375 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-62117.27345838939	-25447.71877088939	333.39635639971726	0.8541964897588139	0
2000	-66299.96537661884	-30580.445845368842	324.75872056681317	0.8509943264391225	131
3000	-67970.0280933553	-32351.6296558553	323.8393365028748	0.8463159784336446	133
4000	-68564.32918527428	-33111.032310274284	322.3382476611233	0.842976369083024	133
5000	-69513.90625244418	-33933.53515869418	323.49359524809665	0.8416521283535253	133
6000	-69862.55796330798	-33907.718119557976	326.89823208919023	0.8398323084879383	134
7000	-70448.71993542799	-35031.53634167799	322.0099088937455	0.8405843194277409	134
8000	-70716.98141308843	-35229.05172558843	322.6531261372263	0.8410964894491699	134
9000	-70982.1130252049	-35632.343493954904	321.3969861844532	0.8410968990501085	134
10000	-71292.56942517887	-35600.47567517887	324.5093677830641	0.8405821804612891	134
11000	-71263.64158900357	-35157.17674525357	328.27679321353185	0.8404368172408994	134
12000	-71601.31136792628	-36288.420742926275	321.0616864221153	0.8414925946163343	134
13000	-71748.45565965335	-36285.78769090335	322.42344881882366	0.8406147418943727	134
14000	-72277.3409352631	-36650.5362477631	323.91576538631415	0.8411285309336987	134
15000	-73356.38253117139	-37989.01924992139	321.5569470074138	0.8405829040027096	134
16000	-72541.98365210045	-37426.22583960045	319.26937228101303	0.8403217043698968	134
17000	-72048.10829413023	-36426.25673163023	323.870732010756	0.8408930163357158	134
18000	-72636.70036973237	-37104.80974473237	323.0528151029451	0.8411809764294307	134
19000	-72192.59844174793	-36565.668754247934	323.91690187528724	0.8411853486048824	134
20000	-72999.96572732147	-37493.12197732147	322.82509112496496	0.8405156984817028	134
21000	-72901.3889312383	-36664.549087488296	329.4621512124505	0.8408997108669891	134
22000	-72447.36205815375	-37429.350339403754	318.3806734193477	0.8395685299158457	134
23000	-72565.8875664638	-36795.6297539638	325.22002854404093	0.8402130341266745	134
24000	-73475.55205906389	-37556.05987156389	326.5768543167725	0.840919456421729	134
25000	-73269.77391687171	-37783.70751062171	322.6361853484714	0.8408823732997835	134
26000	-73940.08199312216	-39365.92183687216	314.345214167636	0.8402606351266338	133
27000	-73665.17107808682	-38015.741390586816	324.121469890441	0.8402749564820733	133
28000	-73105.43142127567	-37341.38845252567	325.1635237329108	0.8398058511985559	133
29000	-73399.56817715232	-37930.08770840232	322.4853874678563	0.8402704321343025	133
30000	-74089.09451130172	-38910.53201130172	319.84038695942314	0.8404962730022116	133
31000	-73991.19515129375	-38623.42171379375	321.5606761118567	0.8413085353561026	133
32000	-73754.30155185034	-38120.14920810034	323.9825696287628	0.8408738076854712	133
33000	-73903.26982772173	-38342.71514022173	323.3134262305837	0.8419440648341363	133
34000	-74121.81524275843	-38841.70586775843	320.76364218892604	0.8415189796183348	133
35000	-74840.27732562242	-39224.25388812242	323.81774321238635	0.8410156797739913	133
36000	-74659.19788554918	-38906.768198049176	325.0579368042559	0.8404001603178783	133
37000	-74691.26291673056	-39348.89572923056	321.32968472807886	0.8414065582692565	133
38000	-74565.2862502772	-39367.274531527204	320.0172175405777	0.8397138788006684	133
39000	-74312.6276344603	-38675.463571960296	324.00995190995786	0.8408467922788284	133
40000	-74977.2483410569	-39843.9241223069	319.4290844970107	0.8406600294722302	133
41000	-74709.69388563678	-38791.20951063678	326.56769137442706	0.8410769957486672	133
42000	-74585.85497790124	-39153.87060290124	322.14447629121383	0.8410708573107375	133
43000	-74558.75405702702	-39087.91811952702	322.49771127015816	0.8409444228891307	133
44000	-74510.35247109328	-38847.80168984328	324.24076571733355	0.8411898440128553	133
45000	-74729.59132043351	-38920.20069543351	325.57582062317465	0.840254012717018	133
46000	-75036.93378623361	-40290.48066123361	315.91168664061973	0.8402473036530467	133
47000	-75177.39089983281	-39356.39871233281	325.6813010059883	0.8399449157423329	133
48000	-74772.22040650052	-39011.64228150052	325.1320216791883	0.8411817335952578	133
49000	-75121.1652604308	-39740.204322930804	321.68057569851624	0.8408897833609726	133
50000	-74892.44098524717	-39572.94098524717	321.1217782765667	0.8409412194843312	133
51000	-74679.26478451514	-39232.15540951514	322.28199145695606	0.8411633240683812	132
52000	-74699.60529749445	-39272.48029749445	322.1002952823855	0.840745007209505	132
53000	-75062.43181367828	-39407.21696992828	324.17406802072617	0.8409685435529707	132
54000	-75047.20763396953	-39533.035758969534	322.89171779101156	0.8412351629413835	132
55000	-75150.18542937457	-39283.99792937457	326.09221280031625	0.8396249615632895	132
56000	-75256.41505135776	-39461.38380135776	325.4452664523925	0.8406975286538991	132
57000	-74825.1207871559	-39418.3864121559	321.91490551865235	0.8401668998385992	132
58000	-75628.04041147111	-39815.43884897111	325.60501418367056	0.8413233780901724	132
59000	-75825.51231065036	-40962.02402940036	316.9757599569429	0.8401468624909929	132
60000	-75777.67469025642	-40681.88953400642	319.0877826522837	0.8400209312171611	132
61000	-75614.05251788735	-39860.62283038735	325.06702871604057	0.8406638483861548	132
62000	-75718.65041779513	-39745.22463654513	327.0672137933745	0.8406051770799552	132
63000	-74948.52145752117	-39219.21286377117	324.8477218595172	0.8408522272779998	132
64000	-75335.14290689887	-39999.588219398865	321.2677460790462	0.8402097905707925	132
65000	-75688.58962667146	-39872.851345421455	325.63353295383865	0.8395087782746685	132
66000	-75320.81780043531	-40145.03655043531	319.81510007977215	0.8405212717393462	132
67000	-75520.95933623923	-39801.56480498923	324.7575840778401	0.8412070575091096	132
68000	-76176.47084357103	-39918.213031071034	329.65688149493104	0.8404596487534314	132
69000	-75530.94927700402	-39926.12505825402	323.71592090345473	0.8402129948366461	132
70000	-75674.77797409105	-40254.53578659105	322.03771735830543	0.8405495527388421	132
71000	-75078.54395937969	-39518.73927187969	323.3066072967452	0.8410061139121702	132
72000	-76337.61425679298	-40863.36816304298	322.52871610995487	0.8406897274349125	132
73000	-75620.80940136124	-40227.61408886124	321.79180955675605	0.8406817746589874	132
74000	-75656.2924122185	-40303.43303721851	321.4250787712565	0.840082384992728	132
75000	-75641.54068259787	-39767.30240134787	326.16540979323844	0.8398363285646206	132
76000	-75584.09951124113	-39558.22060499113	327.54411297870166	0.8398445734371498	132
77000	-75408.99881646996	-39799.72537896996	323.7563728078402	0.8399382520780836	132
78000	-75877.88896470581	-40111.03740220581	325.1890592195246	0.8408395161747634	132
79000	-75530.47944799978	-39545.22944799978	327.17471854717144	0.8407542735280755	132
80000	-76164.6077114056	-40431.693648905595	324.8805024633344	0.8405199481424516	132
81000	-75620.81473097326	-40099.43191847326	322.9572789986459	0.8406234072942672	132
82000	-75179.56143508773	-39903.44424758773	320.7273455723484	0.8402627981261168	131
83000	-75923.73566779285	-40515.45441779285	321.9289695696942	0.839970533074405	131
84000	-75398.34921054327	-39160.22421054327	329.47383573970495	0.8403425119131644	131
85000	-75792.69901675079	-40345.65214175079	322.2814232124695	0.840025201807639	131
86000	-76152.38750405428	-40603.77031655428	323.2048915336549	0.8396845042331038	131
87000	-76270.28105679702	-40883.972463047015	321.72919611739565	0.840390306561765	131
88000	-76652.62708738362	-41548.73646238362	319.1614768591316	0.840011544215293	131
89000	-75921.21338959654	-39699.45557709654	329.3250267147928	0.8395940620051352	131
90000	-75356.68833471526	-39815.05552221526	323.14139021228425	0.8400019133137357	131
91000	-75974.65783799368	-40573.876587993684	321.86078023130966	0.8396963868166022	131
92000	-76140.12834356059	-40674.83146856059	322.4473506025387	0.8400384538449963	131
93000	-76111.99982677416	-40601.58576427416	322.8575520912584	0.8408728534590469	131
94000	-75868.25256765609	-40874.60413015609	318.15916461543907	0.8409949371868721	131
95000	-76013.19785861846	-40718.846296118456	320.8931309012959	0.8404531120760039	131
96000	-76159.77739455175	-41075.796925801755	318.9804554748888	0.8398556511954369	131
97000	-76246.04565272538	-40893.998777725385	321.4176915929315	0.839857258719006	131
