nohup: ignoring input
# 2025-12-04 11:09:07.832768

# field.xml config.pdb
#   401 molecules 6160 atoms 6640 bonds
#   box 4.1888 4.2678 10.0 nm
# Langevin integrator 300.0 K
#   barostat (1.0, 1.0, 0.0)
# coordinates and velocities from state-eq.xml
# platform CUDA
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 2080 SUPER
#   UseBlockingSync false
#   Precision single
#   UseCpuPme false
#   CudaCompiler 
#   TempDirectory /tmp
#   CudaHostCompiler 
#   DisablePmeStream false
#   DeterministicForces false
# PotentielEnergy -52281.459065598094 kJ/mol
#   HarmonicBondForce 5267.388977050781 kJ/mol
#   RBTorsionForce 3166.138906478882 kJ/mol
#   NonbondedForce -58521.8818012274 kJ/mol
#   LennardJones -17531.879869045984 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 8187.794769287109 kJ/mol
#   LennardJones14 7150.980196177959 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-52613.36155742413	-32158.697494924127	302.28305196346855	0.5101741257853389	0
2000	-52268.05805754583	-32410.41743254583	293.4601220815704	0.5104265737301378	126
3000	-52532.76686900117	-32419.35280650117	297.23999228928653	0.5104097851402412	128
4000	-52455.07966425327	-32194.456617378273	299.41547563808905	0.5105600589460744	130
5000	-52226.64027873329	-31765.96645060829	302.3718654628817	0.5106975587356098	131
6000	-52626.9187551665	-32468.2918020415	297.9081572869837	0.5113272762891101	132
7000	-52090.15896437029	-31676.46755812029	301.6775499840444	0.5103945684222149	132
8000	-52598.864389658236	-32127.684702158236	302.5271231207767	0.5105882804719956	133
9000	-52094.87338566466	-31395.264010664658	305.90290200844635	0.5112283476266515	133
10000	-51854.63547372456	-31264.985083099557	304.2779064922102	0.5105406124657539	133
11000	-52558.550729569244	-32123.283151444244	301.9964068992269	0.5107793522881038	133
12000	-52598.368222088066	-32007.516659588066	304.2956576466266	0.5113425691804329	134
13000	-52651.540155209805	-32350.817498959805	300.00807555893743	0.511007847576913	134
14000	-52667.213318253496	-32315.666443253496	300.7591658682413	0.5106232272168497	134
15000	-52482.77931325632	-32064.853532006317	301.7401264113202	0.5108716208497035	134
16000	-52703.643164733476	-32097.248633483476	304.52535469840734	0.5111919108032026	134
17000	-52471.01330243699	-31996.192989936993	302.5809249936744	0.5107644564540386	134
18000	-52514.320154408604	-32422.542810658604	296.9202406004668	0.5106612840807062	134
19000	-52935.63416212973	-32603.341193379732	300.474627851597	0.5109853283302863	134
20000	-52735.67503200614	-32473.57932888114	299.43723884204013	0.5102391495045295	134
21000	-52696.329808369774	-32083.458714619774	304.621066613927	0.5106009750631095	134
22000	-52732.97388189601	-32184.91138189601	303.66331245808504	0.5108332265109506	134
23000	-52154.32912332104	-31834.95802957104	300.2836658392093	0.5111363091720021	135
24000	-52685.61193046333	-33147.05333671333	288.7446650132833	0.5107558911085409	135
25000	-52818.10147763683	-32214.515540136832	304.4838487471054	0.5108296550597315	135
26000	-52525.12771302792	-32280.31911927792	299.1817665367735	0.5107687349401332	135
27000	-52352.412994876264	-32290.955963626264	296.47216105386656	0.5105412469680365	135
28000	-52574.98702243785	-32358.334678687846	298.76566793178836	0.5103580046316221	135
29000	-52750.5194081803	-32493.5037831803	299.36216444750863	0.5107022901213882	135
30000	-52849.41745183514	-32406.444795585143	302.11027406048294	0.5111165775218094	135
31000	-52630.48085343282	-32343.19569718282	299.80949353880027	0.5111086038849691	135
32000	-52752.71397760662	-32042.407336981618	306.0609883055817	0.5110698549835218	135
33000	-52836.59761323249	-32597.956988232487	299.09061508043726	0.5105364220735752	135
34000	-52618.62610557774	-32554.891730577743	296.5058160880933	0.5110412196500497	135
35000	-52363.99031525958	-32064.92781525958	299.98354144307746	0.5109462480747639	135
36000	-52964.25149381062	-32777.25930631062	298.32734430420066	0.5100109877527134	135
37000	-52456.50043570617	-32275.05317008117	298.2454003572283	0.5105610067444669	135
38000	-52557.361702802235	-32261.631234052235	299.9343000293632	0.5109601267147127	135
39000	-52393.848325287276	-31849.820981537276	303.6036801247124	0.5103925803868821	135
40000	-52764.121654976734	-32583.338451851734	298.2355867108844	0.5111949080012091	135
41000	-52783.92898227457	-32668.13991977457	297.2750905067992	0.51112509487146	135
42000	-52753.92491718764	-32746.174917187644	295.6784679739635	0.511312928888968	135
43000	-52726.52972821926	-32607.221134469262	297.3271028324224	0.5108595897503946	135
44000	-52542.33683698879	-32604.86418073879	294.63989555411223	0.5110162903331887	135
45000	-52814.12657554216	-33217.36485679216	289.6048022516683	0.511162509527245	135
46000	-52669.99511455488	-32677.370114554877	295.45494774664627	0.5105988144262542	135
47000	-52273.135422686435	-31730.268235186435	303.5865351072762	0.5100185335745601	135
48000	-52672.47076538827	-32129.822327888272	303.5833023767158	0.5109302385993036	135
49000	-52722.36615765492	-32586.53803265492	297.57123171706195	0.5107894064600895	135
50000	-52482.061414976284	-31899.108289976284	304.1789329824645	0.5105605742173317	135
51000	-52418.09300002445	-32212.964093774448	298.5953723040544	0.5114456805767177	135
