nohup: ignoring input
1 warning generated.
# 2026-01-08 13:52:55.199090

# field.xml config.pdb
#   601 molecules 9504 atoms 9716 bonds
# Box vectors (nm):
#     x      y      z
#     4.02   0.00   0.00
#    -2.01   3.48   0.00
#     0.00   0.00  15.00
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# platform OpenCL
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 2080 SUPER
#   OpenCLPlatformIndex 0
#   OpenCLPlatformName NVIDIA CUDA
#   Precision single
#   UseCpuPme false
#   DisablePmeStream false
# PotentielEnergy 82325.54371450213 kJ/mol
#   HarmonicBondForce 1814.9909620182589 kJ/mol
#   RBTorsionForce -1580.661780768598 kJ/mol
#   NonbondedForce 90591.24781002081 kJ/mol
#   LennardJones -19272.994683897607 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 8194.728024059907 kJ/mol
#   LennardJones14 2578.2116366028786 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
# Minimizing energy...
# PotentielEnergy -34928.12889291975 kJ/mol
#   HarmonicBondForce 598.6589915752411 kJ/mol
#   RBTorsionForce -630.5826927423477 kJ/mol
#   NonbondedForce -14222.187980994815 kJ/mol
#   LennardJones -25425.278710997216 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 4500.900900840759 kJ/mol
#   LennardJones14 250.34032821655273 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-2642.166962145653	31152.618194104347	325.77873593597144	0.7745539292133554	0
2000	-3644.9332969044917	29931.41826559551	323.6730554373734	0.7619952184274964	154
3000	-3817.7801226387965	29778.169096111204	323.86197510799457	0.7548630326100666	159
4000	-4003.4390732835163	28923.662489216484	317.4143429369534	0.7481453624741674	160
5000	-3298.667101289262	30479.614148710738	325.61963974135824	0.744940105157579	159
6000	-4523.942377995176	29240.311528254824	325.484417389913	0.7436211515736061	159
7000	-5094.815146794717	28109.782509455283	320.0893807047945	0.7430052727838379	160
8000	-4456.892687833693	29496.056530916307	327.30342349097486	0.7421198329397649	160
9000	-5338.734209360089	27949.66032188991	320.89717515848514	0.7424702994196258	161
10000	-5732.184677429672	27346.307510070328	318.8737351543333	0.7429689440633398	160
11000	-5610.174681572884	28158.637818427116	325.5283618299399	0.7424470025851237	160
12000	-5389.066603827232	28424.042771172768	325.9553797818722	0.742838433236568	160
13000	-6527.921103058325	26632.477334441675	319.6633041504635	0.7425259405787861	160
14000	-5726.940199853096	27850.958237646904	323.6879671753774	0.7434517607100702	160
15000	-5854.952465978975	28000.227221521025	326.36093386849575	0.7439329700904325	160
16000	-6618.447987594933	26384.751231155067	318.14791760376056	0.7444017717074605	160
17000	-6075.5542696317425	27010.867605368258	318.95017663955576	0.7428341952293083	160
18000	-6714.732640533242	26445.150171966758	319.6583335711288	0.7461176907864844	160
19000	-6947.939096869901	26307.5609031301	320.5800747904762	0.7441604475474383	160
20000	-6618.522597028932	26549.239121721068	319.73428552959865	0.743905937840913	160
21000	-6905.70861002797	26851.43982747203	325.41592130044523	0.74263772295359	160
22000	-6447.263147721998	27101.967321028	323.41161049555103	0.7419963849579412	160
23000	-6851.425749695394	26986.527375304606	326.1948713316332	0.7419688076022094	160
24000	-7280.15316460008	26184.69839789992	322.5982053121569	0.7438497705252503	160
25000	-6914.403122996911	26498.72578325309	322.09960348662463	0.7435694215801639	160
26000	-7125.568024489796	26215.306975510204	321.4030822294032	0.7437495524861806	160
27000	-7132.435501998465	25880.150435501535	318.23840474119385	0.7417746131630918	160
28000	-6863.305459612398	27192.1867278876	328.29192862820366	0.7447862727291799	160
29000	-7322.081885880907	26600.363426619093	327.0093685362447	0.7443223760206051	160
30000	-7214.001534019306	27126.791434730694	331.0422028923376	0.7430467073347841	160
31000	-7350.377179283008	25363.06618009199	315.35469678105704	0.7442908035616396	160
32000	-7201.472352953744	25879.777647046256	318.90032022259294	0.7428472718071337	160
33000	-7699.748063939973	25966.165998560027	324.5364300054425	0.7414183091026915	160
34000	-7614.20762820472	25871.39393429528	322.79823347447297	0.742822020111319	160
35000	-7412.273403619125	26493.015658880875	326.8439838056551	0.7426817285056929	160
36000	-7129.32515195274	26219.03031679726	321.4751932856598	0.7422070083864475	160
37000	-7685.838633432577	25861.716054067423	323.39545611271336	0.7430790731067259	160
38000	-7621.976447910129	25489.93370833987	319.19588141348504	0.7419026430895258	160
39000	-7571.105982075678	26213.64401792432	325.6819979184658	0.7428899296632263	160
40000	-7856.480335479428	25770.847789520572	324.164464985232	0.7443307761276194	160
41000	-8289.313251566957	24933.428935933043	320.2642923791089	0.742322592020709	160
42000	-8417.37510862836	25421.09754762164	326.19987956687186	0.742378342864376	160
43000	-7919.508126364264	25585.937186135736	322.98952546704936	0.7429970274772045	159
44000	-7451.53865486593	25690.52775138407	319.4865849927547	0.7439142512325678	159
45000	-8201.731730031548	25154.471394968452	321.5508439968972	0.7437400827440105	159
46000	-7682.042938643659	25883.88284260634	323.5725518294627	0.7439090156077938	159
