nohup: ignoring input
# 2026-01-08 15:35:00.687020

# field.xml config.pdb
#   601 molecules 9504 atoms 9716 bonds
# Box vectors (nm):
#     x      y      z
#     4.02   0.00   0.00
#    -2.01   3.48   0.00
#     0.00   0.00  15.00
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# coordinates and velocities from state-eq.xml
# platform OpenCL
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 2080 SUPER
#   OpenCLPlatformIndex 0
#   OpenCLPlatformName NVIDIA CUDA
#   Precision single
#   UseCpuPme false
#   DisablePmeStream false
# PotentielEnergy -11788.895705367671 kJ/mol
#   HarmonicBondForce 8630.026803016663 kJ/mol
#   RBTorsionForce 2631.858377456665 kJ/mol
#   NonbondedForce -14853.933464393253 kJ/mol
#   LennardJones -25932.26074866486 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 17380.238563537598 kJ/mol
#   LennardJones14 355.1757469177246 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-12395.638340269797	20677.533534730203	318.82244781301654	0.7395986439357626	0
2000	-12377.786353488162	21014.52224026184	321.89889751803565	0.7410356227137384	115
3000	-12297.74536791048	21114.36400708952	322.08977529566744	0.7413455770942744	127
4000	-12138.259953798086	21238.626764951914	321.7502320088444	0.742301494970991	133
5000	-11783.711537717085	21690.991587282915	322.69317350217216	0.7426331754785698	136
6000	-12220.646409867331	21540.80280888267	325.45738045080475	0.7410494269918119	138
7000	-11948.19740366441	21713.98228383559	324.50043096117025	0.7414313155398569	140
8000	-12352.087362809456	21285.803262190544	324.26628654978447	0.7418197556736686	141
9000	-12280.671814794652	20946.253966455348	320.304621852347	0.7408308195402212	142
10000	-12305.620023832715	21374.669038667285	324.6750037323482	0.7405603548724322	143
11000	-12208.473384017707	21316.440678482293	323.17720249283684	0.7405675995575449	142
12000	-12201.820841117878	21230.59322138212	322.2855106849218	0.7409223169727777	143
13000	-12072.88037229277	21350.81494020723	322.2014627070812	0.7396804094152603	143
14000	-11675.713603692595	22052.458271307405	325.1365898041989	0.7382955961531226	143
15000	-12138.58208715258	21260.99994409742	321.96901281137764	0.7405496543873435	144
16000	-11520.905032801384	21471.618404698616	318.0450040179906	0.7397833780809445	144
17000	-12291.606790949707	20966.748677800293	320.60760125633703	0.7415395628443148	144
18000	-11826.866688269598	21656.406749230402	322.7757905556589	0.7399515211719362	144
19000	-12138.783064605435	21200.330216644565	321.3860994166764	0.7403478615535146	144
20000	-12485.848284617823	21189.261090382177	324.6250720035773	0.7393510034360079	144
21000	-12300.35614738625	21222.64385261375	323.15875109985217	0.7412688630147882	144
22000	-12230.041093643289	21280.57218760671	323.0393442281081	0.7408755057676794	145
23000	-11995.936029712087	21218.493657787913	320.18416061528956	0.7408551816029647	145
24000	-12308.365116069734	21478.634883930266	325.7036877191989	0.741642403076678	145
25000	-12345.519891587901	21403.6910459121	325.33940450341464	0.741286242199768	145
26000	-12226.884779880464	21279.095688869536	322.99468432590425	0.7402218972792275	145
27000	-11961.662566752755	22027.458526997245	327.65211716248217	0.7424569943949879	145
28000	-12064.201063421322	21184.322374078678	320.51282134584204	0.7401833430897907	145
29000	-11513.946911894134	21891.299181855866	322.0236138722508	0.7416544817836161	145
30000	-11287.628726011957	22166.371273988043	322.4935972107047	0.741785409848994	145
31000	-12372.34092325822	21240.16688924178	324.0215984852645	0.7402470865070944	145
32000	-12774.462202994153	20653.545609505847	322.24303482515285	0.7408224914060434	145
33000	-12379.991255537141	21150.95405696286	323.2353432086908	0.7405171202656895	145
34000	-12663.474753564631	20971.75962143537	324.24068053503015	0.7397114670345819	145
35000	-12378.215566806903	20723.237558193097	319.095076558342	0.7404365747423466	145
36000	-11817.60388305661	21797.46252319339	324.0462631024176	0.7397198247779381	145
37000	-12351.814151808852	21637.396785691148	327.65298324827535	0.7403363686327498	145
38000	-12404.068942593003	20925.524807406997	321.29433197850545	0.7414474024665315	145
39000	-12357.752100699407	20684.685399300593	318.5261711599475	0.740609326066089	145
40000	-11995.686635792023	21463.184457957977	322.5405541230556	0.7394877852766337	145
41000	-12923.678115002636	20699.036728747364	324.11999336254837	0.7417544722765236	145
42000	-12338.931645002216	21080.677729997784	322.16207463144434	0.7390507084636565	145
43000	-12306.687297940545	21421.793170809455	325.13956462061884	0.7404278644151375	145
44000	-12648.360452011751	20473.87001673825	319.2953683119864	0.7392218927927298	145
45000	-11909.576765012112	21739.329484987888	324.3724761992068	0.740883219552934	145
46000	-12330.323531842907	21367.410843157093	324.84317499983763	0.7392088927810399	145
47000	-11421.238555387303	22638.198944612697	328.32996109129465	0.739332212295549	145
48000	-12665.556464633672	21029.20916036633	324.8145565127593	0.7402860653658012	145
49000	-11935.076769844396	21249.759167655604	319.8988794862032	0.7399101449845945	145
50000	-12163.126721591514	21568.549059658486	325.1703671501321	0.7387079701733621	145
51000	-12127.682476232992	21459.454242517008	323.7770233884567	0.7412972743267002	146
52000	-12372.191058530705	21325.660503969295	324.84430467695915	0.7412877623301982	146
53000	-12260.603800290206	21602.161824709794	326.4340616341617	0.7413445236241953	146
54000	-12194.114408132213	20968.502779367787	319.6846927039642	0.7407610355316592	145
55000	-12373.26630655746	21186.66338094254	323.5147500167452	0.739182831716017	145
56000	-12353.547023005958	21349.308445744042	324.8925418900477	0.741303679070086	145
57000	-11668.416288364562	21886.724336635438	323.4685838783793	0.7420776492142087	145
58000	-12200.886420361581	21099.72295463842	321.01492517045097	0.7410281389448252	145
59000	-12493.012804080441	21108.19813341956	323.91269761075057	0.7415449790546729	145
60000	-12064.909446562175	21847.785865937825	326.91537939973483	0.7416830181726645	145
61000	-11882.906828229141	22360.61660927086	330.1045332255769	0.7411001022958004	145
62000	-12159.545913683425	21522.536117566575	324.69228779230735	0.7414893797469465	145
63000	-12224.164385259151	21676.85123974085	326.8027882466239	0.7416685148661961	145
64000	-12500.605143732158	20848.30110626784	321.4805027681309	0.7427460805055457	145
65000	-11878.577972475498	21909.949371274502	325.7184111776826	0.7388256123698166	145
66000	-12174.348077189701	21446.7300478103	324.10421553875125	0.7405451079709044	145
67000	-12559.652653538098	20738.679377711902	320.9929717783895	0.739574470392348	145
68000	-12546.643563325226	21034.512686674774	323.71937219935546	0.7395204851712852	145
69000	-12299.237898264953	20846.703507985047	319.5239396495727	0.7412167224348496	145
70000	-12242.546022576513	20840.993039923487	318.92238658236647	0.7409294770087637	145
71000	-12586.352384466154	20867.741365533846	322.4945009524019	0.7408629828843196	145
72000	-12031.755900658842	21838.49409934116	326.50621034632246	0.741611890647894	145
73000	-12225.054380534391	21136.00811946561	321.597687941536	0.7410928537114226	145
74000	-12649.973795335507	21411.850423414493	328.35296884866943	0.7408137094594639	145
75000	-12533.09925779095	20914.49839845905	322.431879183966	0.7401684558905435	145
76000	-11972.777664033812	21777.581710966188	325.35047533920545	0.740001000105426	145
77000	-12297.457917665015	20894.088957334985	319.9635723293619	0.740589744180111	145
78000	-12150.323169801384	20924.333080198616	318.8367570565557	0.7402600259709505	145
79000	-11985.64621730987	21636.14284519013	324.1110689132884	0.7393938924314785	145
80000	-12551.33862009761	21281.68481740239	326.1473495807214	0.7395884088545407	145
81000	-11904.548191858863	22005.678370641137	326.8915808683749	0.7407408273425204	145
82000	-12526.795523644832	20739.876351355168	320.6877706760605	0.7409094814059252	145
83000	-11849.010809688538	21676.149346561462	323.17957481479203	0.7414301279315325	145
84000	-12174.558438267268	21784.355624232732	327.3609240564599	0.7423701677324359	145
85000	-11878.32628973358	21470.19714776642	321.476812489534	0.741218619215366	145
86000	-12116.804695822822	21548.003897927178	324.5257733845962	0.7419300703483486	145
87000	-11836.832286629884	21712.011463370116	323.40788256105003	0.741256252095427	145
88000	-12387.079231844516	21057.327018155484	322.4011143103567	0.7407280983932727	145
89000	-11165.253065630211	22220.80943436979	321.83868572745894	0.739554343630757	145
90000	-12222.829798669205	21250.002232580795	322.675136324132	0.7399817370449764	145
91000	-12375.484270420682	21417.968854579318	325.7658952726902	0.7404759461959356	145
92000	-12190.681316325907	21501.178058674093	324.7865405201457	0.7416951103122961	145
93000	-12322.544225544727	21308.940149455273	324.20453086714167	0.7398106893745077	145
94000	-12014.438516391907	21907.713827358093	327.00654434344096	0.7393457812870367	145
95000	-12402.313175699615	20388.186824300385	316.0975159723086	0.7403835422397151	145
96000	-12242.339786018594	21105.855526481406	321.47364939359375	0.7415699190157448	145
97000	-12055.88495997974	21490.03691502026	323.37971594482025	0.740354401036556	145
98000	-11962.070924801112	21197.78845019889	319.65810763570454	0.7409286148902187	145
99000	-12621.435066006437	20649.103996493563	320.72505002107044	0.7415328597713734	145
100000	-12582.7588657366	20769.9091030134	321.51676540373154	0.740728499731345	145
101000	-12670.900560872105	21153.267407877895	326.06198364623907	0.7393131156726006	145
102000	-12387.775062925182	21511.435874574818	326.78539121895255	0.7379063754467549	145
103000	-12322.719706732954	21057.420918267046	321.78159937691845	0.7384327264296721	145
104000	-11961.969119300426	21846.628536949574	325.9118872126939	0.7389646669740441	145
105000	-12109.14062638511	20866.96874861489	317.8867739091706	0.7407373361687059	145
106000	-12730.18142003991	20797.72482996009	323.20604691533947	0.7389098408948659	145
107000	-12272.690657753381	20883.76246724662	319.62527168737256	0.7396764692128153	145
108000	-11996.426029882277	21299.335688867723	320.9681941935243	0.7396433491228217	145
109000	-11844.661785119912	21851.97883988009	324.83263134670347	0.7400967127529046	145
110000	-11828.439415796252	21718.306677953748	323.3876613405749	0.7410790166353534	145
111000	-12028.000179678435	21748.710757821565	325.60450206792996	0.7407454011227383	145
112000	-12105.478267995815	21770.537357004185	326.5617904607009	0.7401316815552051	145
