nohup: ignoring input
# 2026-01-07 16:20:59.575701

# field.xml config.pdb
#   401 molecules 11120 atoms 12280 bonds
#   box 4.1888 4.2678 10.0 nm
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# platform CUDA
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 2080 SUPER
#   UseBlockingSync false
#   Precision single
#   UseCpuPme false
#   CudaCompiler 
#   TempDirectory /tmp
#   CudaHostCompiler 
#   DisablePmeStream false
#   DeterministicForces false
# PotentielEnergy 8530.79338156477 kJ/mol
#   HarmonicBondForce 440.7352890893817 kJ/mol
#   RBTorsionForce -1053.7242851257324 kJ/mol
#   NonbondedForce 6590.146035068188 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 2553.637044016272 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-21536.643393261125	17881.036294238875	329.71848011513373	0.8240180736991185	0
2000	-25911.670579545622	13024.040357954378	325.68693881252926	0.821570555152517	135
3000	-27306.770955855027	11332.529825394973	323.2075461393874	0.8178692777148939	134
4000	-28158.616144575702	10049.657292924298	319.6021162461007	0.8159175488359548	133
5000	-29344.043937239898	8858.081062760102	319.55068619025633	0.8141768518353089	133
6000	-29753.11591883382	9114.01689366618	325.1133009088422	0.8140231538974877	133
7000	-29962.776919134092	9459.137143365908	329.75389954368217	0.8144250597068884	134
8000	-30936.52080772791	7436.928411022091	320.98376803223687	0.8153342619633005	134
9000	-29854.964947423636	8651.304583826364	322.0947748675734	0.8141699859088214	134
10000	-30847.35545678278	7872.019543217219	323.8773458310986	0.813891050254445	134
11000	-30733.836413903555	8122.851086096445	325.02592862845603	0.8143430670526157	134
12000	-31482.04263469389	6500.980802806109	317.7179594861206	0.8142813801853662	134
13000	-31136.959957170984	7176.852542829016	320.4849226303463	0.8138679995942634	135
14000	-30926.8073666235	7517.2981021265	321.5747889027024	0.8139414093787533	135
15000	-31461.68257439515	7674.208050604851	327.36138902968275	0.8137133051435547	135
16000	-31571.954723019968	7553.037464480032	327.2702264783449	0.8134297324971539	135
17000	-32312.683029565407	6208.473220434593	322.21929833823594	0.8127334342196236	135
18000	-32027.731791990023	6054.807270509977	318.55038140650856	0.8134850332132365	135
19000	-32044.412117659536	6011.470694840464	318.3274089153511	0.813513052883182	135
20000	-31602.801042512423	6606.359113737577	319.60953341425613	0.8142278646244393	135
21000	-32102.136946756887	6367.5153969931125	321.7884817649781	0.8141722680510083	135
22000	-31847.420991788837	6878.719633211163	323.93393849737714	0.814298656918564	135
23000	-31770.853033446954	6892.693841553046	323.4103583100519	0.8139775349499873	135
24000	-32453.834603302603	6242.884146697397	323.6878322835146	0.8145801275066761	135
25000	-32650.23266889424	5741.650143605759	321.1379601755212	0.8131567977592336	134
26000	-32601.154485429608	6000.314264570392	322.89109118967167	0.8139877695976093	135
27000	-32855.58218981922	5829.003747680777	323.58634451130837	0.8138993964589013	134
28000	-32638.044513378874	6066.533611621126	323.7535738796765	0.8133433457254841	135
29000	-32785.69215580716	5985.581281692837	324.3114625540643	0.8141141836481874	135
