nohup: ignoring input
# 2026-01-07 16:54:23.718290

# field.xml config.pdb
#   401 molecules 11120 atoms 12280 bonds
#   box 4.1888 4.2678 10.0 nm
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# coordinates and velocities from state-eq.xml
# platform CUDA
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 2080 SUPER
#   UseBlockingSync false
#   Precision single
#   UseCpuPme false
#   CudaCompiler 
#   TempDirectory /tmp
#   CudaHostCompiler 
#   DisablePmeStream false
#   DeterministicForces false
# PotentielEnergy -37561.46171232349 kJ/mol
#   HarmonicBondForce 9852.431030273438 kJ/mol
#   RBTorsionForce 7030.934463500977 kJ/mol
#   NonbondedForce -72360.01496931202 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 17915.188232421875 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	-37361.51777169692	1188.0134783030808	322.45664771921014	0.8125280415449689	0
2000	-37212.370728385125	898.5042716148746	318.7874040399869	0.8126855352651345	121
3000	-37688.8119732434	793.5200580066012	321.89454400212605	0.8131211528567822	126
4000	-37039.18529264147	1280.7131448585278	320.53582989019736	0.8138948201924263	128
5000	-37229.18788320533	1090.4136792946665	320.533346609229	0.8135866881920375	129
6000	-37516.92281412044	996.3349983795633	322.15322999457817	0.8133818381103496	129
7000	-36987.65266940229	1419.7457680977095	321.2677442808667	0.8129135746373983	130
8000	-37843.24602067984	685.4375730701577	322.2822625806832	0.8131901401082355	130
9000	-37965.21075055601	542.8244056939875	322.1095438543851	0.8130974290638922	129
10000	-36997.055316357946	1563.1985898920539	322.5463399068167	0.8130108358985564	129
11000	-37454.02621058664	1330.1534769133577	324.41941992668797	0.8134703573092573	130
12000	-37263.08733446144	1967.3423530385626	328.1521833191015	0.8130575849545845	130
13000	-36832.23233195927	2111.322355540731	325.7525497096928	0.8139899662770171	130
14000	-37427.94622600607	987.9287739939318	321.33864848746276	0.8137188094530208	130
15000	-36446.03778835258	2995.11846164742	329.9148553601303	0.8133912573221541	130
16000	-37078.66970495785	1750.9904512921494	324.7998520360881	0.8136062353754688	130
17000	-37194.323012561246	1598.6222999387537	324.49274206475326	0.8143220696667858	130
18000	-37628.222310126876	1128.1019086231245	324.1864162874084	0.8135017730238916	131
19000	-37044.630542092666	1717.4593016573344	324.2346442177936	0.8126052144904585	131
20000	-37826.41169399646	1033.0414310035412	325.0490623511611	0.8132931276994515	131
21000	-37262.6922315422	1444.792143457802	323.77788389336655	0.8137565799254662	131
22000	-37307.29428827496	1309.568992975037	323.0198623777801	0.8137684996086576	131
23000	-37195.323723105874	1421.6411206441262	323.02071192126925	0.8136445839425076	131
24000	-37894.461789836394	1081.987428913606	326.02770377593504	0.8133981340878778	131
25000	-36639.50576147137	1875.1036135286267	322.16453545793405	0.8137702428185033	131
26000	-37571.58659370289	1250.6399687971134	324.7376719876308	0.81291554828955	131
27000	-37386.0851692977	1496.1882682022988	325.2399482382276	0.8125822099180251	131
28000	-37242.798601592614	1803.3615546573856	326.61081735700134	0.8131950945871707	131
29000	-36752.58107150385	2326.9423659961467	326.8898923931936	0.8132395339214517	131
30000	-36662.69173785881	1485.1520121411886	319.0966378700447	0.813289287743259	131
31000	-37183.9267287455	659.1318650044996	316.5471905337959	0.8127382561343309	131
32000	-37465.953045444956	1334.214923305044	324.5531576767331	0.814139113567211	131
33000	-37413.122780558246	1286.1975319417543	323.70959366673713	0.8135291302412421	131
34000	-37168.92503612902	1484.0866826209822	323.3222345104253	0.812795616275081	131
35000	-36103.73941187112	2139.0262131288764	319.89063428492256	0.8131947334996168	131
36000	-37487.94476648525	1179.8950772647513	323.4462678598441	0.8140662619519667	132
37000	-37325.58802617245	1507.9197863275476	324.83203666442785	0.8127966487604334	132
38000	-37066.80075206075	1119.9258104392502	319.42188232739835	0.8130669025969717	132
39000	-37169.844917850016	1381.627738399984	322.4728870697531	0.8136109731061467	132
40000	-37322.771743383404	575.1188816165959	317.00584599369887	0.8123183367046575	132
41000	-37274.49626170211	1542.7771757978917	324.69624040515896	0.8133051556589173	132
42000	-36681.03278271704	1595.6156547829596	320.1740550628094	0.8129677689277747	132
43000	-37722.30722033625	1130.7865296637465	324.9958678588393	0.8135412091182285	132
44000	-36783.70095561343	1883.799044386571	323.4434251566303	0.813471482800547	132
45000	-37491.99308483742	700.7412901625794	319.4721360922577	0.8139737180032879	132
46000	-37148.66842414327	781.1323571067333	317.2727660230461	0.8141896182666979	132
47000	-36999.29053419505	1897.8579033049464	325.3643736846414	0.8131413341104367	132
48000	-37563.86820703157	477.9442929684301	318.20971446735155	0.8131167925530481	132
49000	-37150.42177273486	1128.6094772651413	320.1939866600553	0.8130104018687558	132
50000	-37345.415307743766	973.6706297562341	320.529033542284	0.8128293927020211	132
51000	-37220.301897520025	1099.2996649799752	320.533346609229	0.812968840870059	132
52000	-37570.72666585138	1587.9491153986164	327.551980844003	0.813171594013098	132
53000	-37185.53252528567	1308.287787214329	321.99064044065096	0.8128432926206335	132
54000	-37188.996111394605	947.2577948553953	318.99969188803055	0.8133451494157129	132
55000	-37379.48280188562	1037.6265731143794	321.3489737083311	0.8136646847128165	132
56000	-36916.848008356494	1380.9644916435063	320.3510868560525	0.8133723710977694	132
57000	-37077.6147694899	1594.2055430101027	323.4795634296696	0.8140115519073514	132
58000	-37560.795897459466	1255.2666025405342	324.6861112327881	0.8136334053266351	132
59000	-37539.23167225449	476.1003589955071	317.9882123399253	0.8130440221040549	132
60000	-37119.59521042605	1289.5610395739495	321.28244791817923	0.8136470963551765	132
61000	-37724.68892361852	677.2954513814766	321.222457077944	0.813707694359392	132
62000	-37245.12605516259	1878.2176948374108	327.25643773402066	0.8127889943179569	132
63000	-37424.26938734387	871.1446751561307	320.33102455980827	0.8136375870560904	132
64000	-37135.76058229062	1163.426917709381	320.3625883679059	0.8129981673378276	132
65000	-38191.88730855216	1007.5423789478373	327.8928765064072	0.812899615826526	132
66000	-37453.14816497499	1005.9260537750088	321.6999985431062	0.8126582028174955	132
67000	-37854.30236057764	660.4554519223602	322.16577709841823	0.8130674870438158	132
68000	-37594.45781809132	434.72186940867687	318.1040443271986	0.812934286322502	132
69000	-36431.01751606524	2073.4746714347566	322.07990785651293	0.8130036042014954	132
70000	-37448.390291271804	1046.027677478196	321.9956396773372	0.8131802596939236	132
71000	-37444.530041781414	867.4543332185858	320.46963084754134	0.8129844932774027	132
72000	-37197.89734735795	533.2823401420465	315.6113530309763	0.8130888213842634	132
73000	-37839.36788432655	729.1086781734484	322.6151202546899	0.8131549094653628	132
74000	-37927.48739173866	934.8837020113424	325.07347038909995	0.8132343506019594	132
75000	-37424.440309966056	944.1143775339442	320.9428265710088	0.8130234846577616	132
76000	-38094.00001760363	287.5507636463735	321.05153546287295	0.8133160661646393	132
77000	-37622.467842250495	1348.9266889995051	325.98542264997405	0.813140266418212	132
78000	-36907.56183088104	1627.6100441189628	322.3365353397413	0.8134600968358249	132
79000	-37455.79761904958	1278.2101934504171	323.9997454430382	0.8120818046897054	132
80000	-36897.44988936027	1621.2024543897278	322.19835382375294	0.8124838113705395	132
81000	-37624.15784677616	332.4476219738426	317.4969801546877	0.8129878073404591	132
82000	-37075.106653022114	1405.3035032278858	321.87846802533096	0.8133252875965064	132
83000	-36800.433530345224	1609.6680321547756	321.29035520757844	0.8129261966668954	132
84000	-37717.21770541443	1256.9541695855733	326.0086543969279	0.8124592179780807	132
85000	-37573.01700947237	1198.3501780276274	324.3122467480543	0.8121126843563072	132
86000	-37775.19344058589	481.05655941410805	320.0034275204846	0.8133066171863752	132
87000	-37848.42506221877	225.8054065312317	318.4808822141446	0.8130594266215299	132
88000	-37170.16501506613	1305.8506099338701	321.8417089320495	0.8124780244652392	132
89000	-37196.92613394618	2000.011366053819	327.8720300161729	0.8136765500907048	132
90000	-37732.34147729256	1041.5647727074393	324.33348533528357	0.8132892849494011	132
91000	-37494.227973628265	1370.0884326217347	325.0897424143925	0.8132268783343606	132
92000	-37134.507915255905	1105.1014597440953	319.86423308725915	0.8127143046657695	132
93000	-36993.64465540994	1567.5350320900616	322.554083822468	0.8125688316714078	132
94000	-36928.891450403535	1215.7804245964653	319.0701059733829	0.8138410412724925	132
95000	-37275.05491351873	1302.046648981268	322.6872661017701	0.8127677385807432	132
96000	-37340.795378083785	1544.3647781662148	325.26409487816983	0.8133293450863139	132
97000	-37964.01204975137	180.9723252486292	319.07271995334963	0.8136226120302765	132
98000	-37433.30981303725	919.8659682127472	320.81418608189875	0.8131132555660738	132
99000	-37143.79475897834	1088.8497722716565	319.80597400875183	0.8139511578006079	132
100000	-37506.25228526477	1240.0602147352329	324.102670904226	0.8135566891611012	132
101000	-37474.873986016595	1463.0166389834048	325.7051713227968	0.8129471731943462	132
102000	-37564.16459290401	1528.6791570959904	327.0013132892731	0.8133403975360775	132
103000	-37401.96428906558	1524.2778984344186	325.60773521953894	0.8134028922002783	132
104000	-37586.9739360285	1026.979188971498	322.99551968934037	0.8139034570189736	132
105000	-37200.390189129466	1416.3285608705337	323.01865341204547	0.8138387055305498	132
106000	-37122.74811302489	1763.5487619751075	325.2736032302986	0.8132568102200447	132
107000	-37280.793176337436	1856.1833861625637	327.37047261006694	0.8133672578485585	132
108000	-37454.65978115548	1326.539437594518	324.3944890927558	0.8132437343747361	132
109000	-37413.20172171338	967.4818720366166	321.04428166846543	0.8129778393816025	132
110000	-37327.31176523898	1856.1140160110226	327.75900805736376	0.8131220413151178	132
111000	-37050.40551420589	1117.3522982941067	319.26321374342115	0.8130853260566998	132
112000	-37522.5492470553	984.2085654447001	322.09885921127136	0.8127860346048535	132
113000	-37074.308727357115	1606.6951788928855	323.55638176594033	0.8125579491231277	132
114000	-37625.31839215735	776.9550453426491	321.22487500941315	0.8136592938550965	132
