nohup: ignoring input
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
1 warning generated.
# 2026-01-08 23:14:16.427240

# field.xml config.pdb
#   401 molecules 10704 atoms 11016 bonds
# Box vectors (nm):
#     x      y      z
#     4.02   0.00   0.00
#    -2.01   3.48   0.00
#     0.00   0.00  13.00
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# platform OpenCL
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 4060
#   OpenCLPlatformIndex 0
#   OpenCLPlatformName NVIDIA CUDA
#   Precision single
#   UseCpuPme false
#   DisablePmeStream false
# PotentielEnergy 121222.32191363425 kJ/mol
#   HarmonicBondForce 1787.5525400098413 kJ/mol
#   RBTorsionForce -1053.7537841796875 kJ/mol
#   NonbondedForce 125170.7999959719 kJ/mol
#   LennardJones -16996.551675477305 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 9013.772941589355 kJ/mol
#   LennardJones14 3300.530548095703 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
# Minimizing energy...
# PotentielEnergy 5736.241591368627 kJ/mol
#   HarmonicBondForce 633.6071074008942 kJ/mol
#   RBTorsionForce 210.86720597743988 kJ/mol
#   NonbondedForce 24323.357369018777 kJ/mol
#   LennardJones -25453.803826966563 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 5030.2595291137695 kJ/mol
#   LennardJones14 991.9512214660645 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	39774.462759424874	76110.48229067487	320.714684027588	0.8643542221557279	0
2000	39939.03126287117	76845.56641912117	325.7502586657873	0.8523346660720249	142
3000	38929.193548844196	75970.0451113442	326.93578323193145	0.8427804088583224	141
4000	37898.10756903363	75006.93178778363	327.5357341691272	0.8380592009516863	140
5000	38508.226351864054	75491.96072686405	326.4316465384268	0.8343387789964098	140
6000	37749.85018303321	74477.55721428321	324.171857774757	0.8328875998890123	140
7000	36879.92033269396	73575.06095769396	323.88441504368404	0.8323605498923157	140
8000	36853.884514882404	73201.7907648824	320.8196004520399	0.8337518340168053	141
9000	37126.05133307743	73966.02008307743	325.1627197932656	0.8331724429338974	141
10000	36798.988080933865	73924.72245593386	327.68498924683075	0.8317394151153779	141
11000	35901.01173926366	72368.29298926366	321.87324683102383	0.8293196307958103	141
12000	36198.5588754167	72767.5198129167	322.77070806286133	0.8296518033270772	141
13000	36221.15691432252	72779.75066432252	322.67920356384883	0.8304696744689036	141
14000	35479.12226635771	71746.9894538577	320.1131471043507	0.8289630485538881	141
15000	35482.01096097421	72324.8234609742	325.18781974627274	0.8300037017504525	141
16000	34838.1854393197	71347.3182518197	322.242643666902	0.8317263607528979	141
17000	35179.119675150665	72254.88139390066	327.24391273746096	0.82925657673315	141
18000	35465.16893599671	72452.93065474671	326.4671933125345	0.8304770038195428	141
19000	34949.75800676731	71947.08613176731	326.5516298302744	0.8313191267055353	141
20000	35130.29716969386	71573.04716969386	321.65672525837925	0.8300216811345467	141
21000	35215.50272679684	71990.75272679684	324.59148899460695	0.8306313040778301	141
22000	35250.27207327937	72172.70176077937	325.8905494745598	0.8302818282725434	141
23000	34821.68428900401	71155.16866400401	320.6923078332176	0.8291304835296286	141
24000	34538.00151887187	70809.96245637187	320.14928000373465	0.8320980571573761	141
25000	34716.65758740029	71454.71618115029	324.2632243619398	0.8305905279191605	141
26000	34505.00761115126	71161.87479865126	323.5466000168095	0.8321886940351313	141
27000	34803.748243710725	71381.07636871072	322.844559847671	0.832120084301994	141
28000	34802.76126703317	71747.36282953317	326.0862463609182	0.8333167326458158	141
29000	34542.15514891007	70803.17077391007	320.0526727670229	0.8305637784121954	141
30000	34125.491437395045	70599.49924989505	321.93261787371404	0.8310163460038378	141
31000	34430.64393211424	70805.38611961424	321.0564640195667	0.8308135825119013	141
32000	34515.551030461036	71030.32446796104	322.2924298374273	0.8286612392719878	141
33000	34039.878642902244	70866.94114290224	325.04880462192517	0.830343142538277	141
34000	34452.70125536475	70644.53719286475	319.4420681409821	0.8323444284592927	141
