nohup: ignoring input
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
failed to open /dev/dri/renderD129: Permission denied
# 2026-01-09 00:01:27.163782

# field.xml config.pdb
#   401 molecules 10704 atoms 11016 bonds
# Box vectors (nm):
#     x      y      z
#     4.02   0.00   0.00
#    -2.01   3.48   0.00
#     0.00   0.00  13.00
# Langevin integrator 323.0 K
#   barostat (1.0, 1.0, 0.0)
# coordinates and velocities from state-eq.xml
# platform OpenCL
#   DeviceIndex 0
#   DeviceName NVIDIA GeForce RTX 4060
#   OpenCLPlatformIndex 0
#   OpenCLPlatformName NVIDIA CUDA
#   Precision single
#   UseCpuPme false
#   DisablePmeStream false
# PotentielEnergy 28113.71541082603 kJ/mol
#   HarmonicBondForce 8993.811849594116 kJ/mol
#   RBTorsionForce 3983.7896270751953 kJ/mol
#   NonbondedForce 19427.474556518777 kJ/mol
#   LennardJones -27156.646230653714 kJ/mol
#   CMMotionRemover 0.0 kJ/mol
#   HarmonicAngleForce 21272.74786376953 kJ/mol
#   LennardJones14 1592.5354537963867 kJ/mol
#   MonteCarloAnisotropicBarostat 0.0 kJ/mol
#"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"
1000	28500.069497045944	65444.960122045944	326.08879772976786	0.8291877281289332	0
2000	27567.210987417144	64301.000049917144	324.2255399544716	0.8295785216206181	120
3000	28620.56984466617	65370.63234466617	324.3691751251145	0.8283027096837107	125
4000	28044.796558346134	64294.421558346134	319.95213504316433	0.8293430709254669	127
5000	28416.068973688758	65102.83069243876	323.81045982500206	0.8280701231122769	128
6000	28692.16172219091	65332.38047219091	323.3996549622536	0.8280920612194197	129
7000	28213.690874114167	65199.58931161417	326.4507473268416	0.82781153828029	129
8000	28539.982243064092	64871.61896181409	320.6759997593544	0.8301859817608058	128
9000	28158.957188573026	64915.222813573026	324.42392612150934	0.8306473871857557	129
10000	28391.301242172485	65653.60592967249	328.8904075944106	0.8297103504926757	128
11000	28684.693030317605	65394.704749067605	324.0156726276105	0.8294549068773339	129
12000	28313.9970121801	64602.4149809301	320.29453563837666	0.8290798610763659	129
13000	28337.390180352493	65075.87064910249	324.26694798134196	0.8303792050003258	129
14000	27846.63921219937	64439.83452469937	322.98460931074146	0.8302043496286371	129
15000	28146.24781224795	64412.36499974795	320.09770097942317	0.8301979972005464	129
16000	28097.02582630777	64335.75238880777	319.85594154194166	0.8294981182385627	129
17000	28133.22495374095	64851.48276624095	324.0884555957399	0.8290367120253079	129
18000	28646.13169920852	65339.00279295852	323.8643833504187	0.829740922996288	129
19000	28313.60392736667	64445.94377111667	318.916934371404	0.8292531631680902	129
20000	28212.109836222196	64744.0629612222	322.44406389419333	0.8298115016494516	129
21000	28942.290775632137	65845.23999438214	325.7186079008689	0.8303445379847265	129
22000	27932.348891189264	64342.813734939264	321.3717649402411	0.8298009257985088	129
23000	27909.527201340476	64447.183451340476	322.4944017120375	0.8308945689458269	129
24000	27839.36741771683	64590.31273021683	324.3769671434931	0.8292892258924845	129
25000	28766.256833999883	65026.28808399988	320.0439843217511	0.8296024828323889	129
26000	28489.655581224768	65138.77276872477	323.47819574927337	0.8277892194138847	129
27000	28376.52860866266	65114.69267116266	324.26415526679034	0.828490189282782	129
28000	27644.219569248206	64250.852381748206	323.10321348429204	0.82794981131672	129
29000	29053.4179346835	65653.3241846835	323.0438424416019	0.8285062143613098	129
30000	27963.509619896242	64643.28305739624	323.7487787591643	0.8282119950376655	129
31000	28226.82473956287	64808.13723956287	322.87972736424706	0.828570725751402	129
32000	28126.603262518474	65158.376700018474	326.85565645887	0.8293981251465281	129
33000	28056.633044677437	64528.51585717744	321.91386186487347	0.8296249726291839	129
34000	28141.362351743912	65522.51860174391	329.9394339270993	0.8287354534705638	129
35000	28640.000699667784	65218.012418417784	322.85059349022083	0.8291363113134923	129
36000	28440.70986957359	65276.29971332359	325.1240700029893	0.8300178630685812	129
37000	28079.37706810271	64934.83019310271	325.29939041650806	0.8307729156204873	129
38000	28450.531663589412	64940.71135108941	322.0753566174638	0.8296919110073792	129
39000	28458.38497195783	64968.97090945783	322.25546946706504	0.8287856301955114	129
40000	28092.611600718345	64512.853788218345	321.45806326768206	0.828061131778179	129
41000	27438.405218549597	64120.3036560496	323.76753476800485	0.8280006233635423	129
